Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct
Ashanti,Sekyere Kumawu,District,6.9098849,-1.23942940155571,23.9,42.9,20.33,35.78,50.45,65.17,64396,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Sekyere South,District,6.99532965,-1.50292100938884,22.6,42.8,17.74,26.93,52.82,59.59,120076,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Suame Municipal,Municipal,6.738487,-1.62476687694823,8.7,42.7,10.34,23.69,43.49,50.57,136290,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Bono,Banda,District,8.1645269,-2.3569966,35.7,43.7,41.63,23.59,56.41,63.37,28179,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Berekum East Municipal,Municipal,7.4848835,-2.56459096524003,12.6,41.7,14.74,11.53,51.35,50.65,106252,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Berekum West,District,7.47199419999999,-2.71078914019081,14.8,41.6,22.9,12.49,50.65,55.68,49464,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Dormaa Central Municipal,Municipal,7.23948645,-2.85657511014467,15.8,41.7,22.18,17.34,47.13,55.49,112702,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Dormaa East,District,7.26432845,-2.64146295349265,19.5,41.7,24.68,13.64,49.66,56.25,67899,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Dormaa West,District,6.97538415,-2.9463116043167,23.2,40.8,30.1,20.34,41.23,62.2,47913,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Jaman North,District,7.9132614,-2.69723280400663,14.5,42.4,26.41,7.06,51.83,59.58,116529,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Jaman South,Municipal,7.62036559999999,-2.7963718064665,15.6,42.1,26.35,8.82,49.44,59.48,109768,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Sunyani Municipal,Municipal,7.3384389,-2.3309226,10.9,41.5,14.47,11.18,51.26,48.05,193595,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Sunyani West Municipal,Municipal,7.35779433737633,-2.34687996021684,17.6,43.1,20.83,15.61,55.78,50.24,136022,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Tain,District,7.9614185,-2.1422727,21.5,41.9,36.55,19.06,46.67,61.96,115568,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono,Wenchi Municipal,Municipal,7.80281055,-2.08141333112632,23.6,42.2,33.76,20.26,50.64,64.4,124758,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2
Bono East,Atebubu Amantin Municipal,Municipal,7.72813859999999,-1.09550967027384,28.8,41.5,40.99,25.49,44.98,71.37,144947,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2
Bono East,Kintampo North Municipal,Municipal,8.053714,-1.728919,28.1,43.4,40.52,21.6,53.38,67.48,140250,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2
